station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,cluster,count
14,0.0,53.82345735028123,57.56205241054892,52.201306449664166,138.82092587628054,55.181636073765105,100.01087159713634,52.30260755368764,54.165037286140134,53.78726946658559,52.56589440055198,54.31659786462143,52.276011717432546,51.842259499030376,51.82818257300261,51.95133180496028,52.09545160045104,1.0,31
15,0.0,5.971854297887314,8.912066079702116,5.179002821151883,17.1551439425403,6.700750402315886,44.26546113389575,8.468514284302666,8.642100687361486,8.047382103329454,7.14330769886506,7.830899793868135,11.22520374833824,6.2267164325080415,7.92367104078474,7.292838610244481,6.338751714190877,2.0,14
16,0.0,5.340720663163266,3.8495155067742433,3.811523437353795,7.336226912384073,13.822863520413264,20.119231928508917,4.453123566171205,3.798920171587997,3.581392989659054,3.971561524122805,3.68791254827677,4.377814324949584,4.458880974011954,4.177384047948565,4.020828309215641,4.718629179566607,2.0,8
17,0.0,29.438758714289982,29.557856567872175,29.223759388466966,40.90449137127262,34.993754712347126,53.47126874595359,28.529312673032912,30.417095600543366,28.237083368096066,28.491281536601853,30.05724282802035,31.64973843542361,28.95142935559227,29.56346438919459,29.29937249318695,30.00743179447697,2.0,105
18,0.0,34.69415325031932,34.338098615592195,34.21563804686259,59.169330073391905,39.22320332578694,55.66002903265714,33.83383945295198,33.84273211116818,33.98721929630747,33.77051197551958,33.603597906945595,33.26614423490553,33.617216217631906,34.00824847517639,34.06359727181185,34.23651378261767,2.0,139
19,0.0,11.337407060173202,12.10254273446347,11.313817336183831,8.880278141408064,11.444549917423203,37.86055849635463,9.685998605326333,12.432677060636216,10.143653727126093,10.772710227358258,11.028778575853027,14.48887933711317,11.381790547754044,10.020647199700354,9.200563250984878,10.573330648832194,2.0,8
20,0.0,167.71011275302217,151.2807607144518,97.03673390857611,206.87859034744517,178.71011275327217,108.85322759585863,164.11788564943717,155.59185915404282,157.3040450467048,157.21657287746558,153.9279858268074,148.71717290988892,168.7464024075861,168.12086672186356,168.39136127865785,170.66864157339083,2.0,8
21,0.0,25.614917016925624,24.069563609230634,24.020764111776817,32.16840060267368,35.26187924978276,39.352210853790844,25.984521271269646,25.551940116561898,25.198660728424766,25.680659647577816,25.83754301657606,26.37449840022268,27.41317126517883,24.541646960303,26.11315841387292,25.10873882365777,2.0,7
22,0.0,79.75981216058322,67.62387909516642,39.488676830182065,45.20904385990453,79.75981216058322,40.811639602760344,75.0033985159968,73.9405432461001,70.15377951953737,78.9253504735665,71.6719998464648,73.77633815829081,67.43221062925072,73.12977571074998,76.9330485636788,75.83222880474446,2.0,6
23,0.0,15.677907433665911,16.754616260453087,15.677891128771007,37.7162806790781,19.510464781123538,45.095511018337376,15.095940153669728,15.53483269806675,15.99731239709917,15.764211622869874,15.307332015846374,16.613793964986588,15.889019947425439,14.36499764216726,15.79123680467617,14.9081882620204,2.0,118
24,0.0,17.12861307338175,9.830784332479416,0.9382924066044892,0.4557514346909208,17.12861307338175,2.148136234022794,15.734144368467595,15.254090168398776,13.538998286992188,16.016512577069353,12.272594441685957,14.505457963045199,16.71746142868292,17.578396023204956,16.401974259410956,18.09345285611371,2.0,4
25,0.0,9.366391182699724,15.502138501031288,3.4894398523783288,26.629814602801947,9.911845728699724,65.14691572019754,11.18986858757606,17.638326987701657,11.30408722505487,9.812794098265767,15.780683668530955,16.50221698638777,14.58991457645872,8.15343428198001,8.047829361281954,7.211008643888829,2.0,3
26,0.0,29.83334773148589,34.54685948441001,26.800227009867648,37.16775430653805,31.15171511658934,75.54521138842419,30.688531253638647,30.969403015638814,30.791839242810813,31.57298820388254,32.62892704167115,29.61349868294056,29.799149056978976,29.19763826359657,28.10147438905765,29.40688302928318,1.0,29
27,0.0,38.60190564456741,38.65946622718572,38.35864225975315,46.24854609188794,41.68864416909049,61.13203507823442,39.45635364830577,38.94501492692941,39.62991450882629,39.67566636107199,38.365184679541265,39.83635665620149,40.08654704480796,38.994531453048396,39.57890160700812,39.17092791400218,1.0,65
28,0.0,69.31936455715733,65.0775810243247,62.78186645490052,73.68882694400638,65.43515403115734,68.70895432002466,67.64920594254434,64.31020594063601,64.6667726875223,69.35199377619321,64.73304214080721,64.67166390718072,67.92589150415121,66.6707392405772,68.99690647406163,67.84027102525252,2.0,5
29,0.0,8.968760921136687,12.582702652976636,7.495439037812666,54.75043127618925,8.163205365386686,53.085254534234544,9.63393601997268,8.576765230118193,9.082346191013137,7.0813827615858544,9.062259195057083,8.696798907254728,8.693030303934938,7.082253890228348,9.256686189288088,7.965204694919432,2.0,24
30,0.0,27.47589663564622,27.479968585794072,27.2066484440706,69.7683030452181,34.18908718171519,51.26677504579788,26.384676250504807,28.13110077568954,26.65726320229267,26.544104300052435,28.92042985002838,30.19447607943246,27.162298266228355,27.554690476499694,27.1611701939458,26.99929479601898,2.0,58
31,0.0,119.00250690756341,109.64871073145598,93.89679034077093,139.53338424132352,133.35683038346173,95.15536487418683,114.0696763690743,112.61061293023744,113.48317897261069,113.54453462429942,115.55714098210358,112.1528711767431,115.91224486109898,116.68795333044258,117.37535384711937,117.09864557965764,1.0,59
32,0.0,24.3108587638088,25.653249244270288,24.29560991986838,71.99376668961456,24.827517264354256,56.18501831585254,24.24953837413297,24.296711233744663,24.062803163499897,23.320544150132438,23.902441506643992,24.538584476459565,24.0832413511464,24.20169991887165,23.69604351786458,24.60382917766613,2.0,33
33,0.0,76.92311719187673,62.52404624308241,21.685008519851078,50.39049649899784,75.00858726521007,27.86364003435399,74.47466446761766,59.42472034535644,66.39323294475275,66.57331675354982,63.88437495059952,42.911588011008575,62.69633365446509,79.08536037499962,76.73974009975105,78.98373193886982,1.0,3
34,0.0,55.35297347688337,51.469156259892195,49.66458894390981,64.92440272364081,58.668449667966705,56.66068323635434,51.93111785692573,49.42390864495278,50.56628974372228,51.51863822964807,52.40627485931915,54.1040288951617,50.53398074422179,53.81974092013536,50.79003109974524,54.03441848586929,1.0,48
35,0.0,21.423178274568812,21.925614314654823,21.34495610119344,28.901851558150206,23.928935298873892,47.018642045542684,21.150096508875507,20.440717676646766,20.86932129626229,20.718495962751316,20.50380441778325,20.55100181906134,21.487466295909012,19.58032816138565,21.083405400931873,20.25380718055932,2.0,118
36,0.0,15.986466585960951,14.490979622768108,14.452182141526723,21.858902556423395,17.71146658686095,30.626970005453323,13.215589926559526,13.240550681781253,12.863448703153328,14.558292492732196,12.06385552298331,12.116870934447451,13.23613279914304,14.246436065841976,13.990011042387277,15.043385986405685,1.0,40
37,0.0,33.89198910994189,33.49161269976515,33.3835889135743,63.95265408045493,41.15624497794188,53.782671883703316,33.501613217186225,32.874417154804284,33.29979220250875,33.62541267730422,32.605598666769694,32.46571633190963,34.519386064714574,32.22120480580689,33.33668626261327,33.253869532305934,2.0,104
38,0.0,61.539200771197386,56.60783514494199,53.19955406776797,62.69147313412999,74.25279828532047,59.003644938962935,58.59497821551545,57.470961926362214,58.627363545683494,58.69281363739142,58.268782824569,57.140201267697975,59.35691579233959,59.9940134434485,59.37187811306645,60.64778323359214,2.0,65
39,0.0,22.72070406837278,23.04925096744365,22.588828279605085,42.72812262301708,22.544984191257132,45.908594544786965,22.421522676044727,22.43284071978245,22.465319912687868,22.191197295368735,22.553470707901802,22.674907486379805,22.582631137329464,22.552615148412972,22.483429092540497,22.493729276890704,2.0,147
40,0.0,11.406093297467661,13.213136722495962,11.286021147884604,34.88374925173569,25.98351519292221,42.639905660344425,11.47005487721335,11.660639860723615,11.574421896539883,11.490344586293132,11.55821869410171,12.341592639898256,11.741197474177085,11.03061478427432,11.594528706410735,10.905074508097545,2.0,55
41,0.0,14.897166319259926,14.531376957392112,14.41216481944973,28.564145649671506,18.846669197347836,34.79463236891121,15.403767165712852,15.500460264768423,15.2211240455222,14.992810807858225,14.618937085690234,14.8108468860154,14.813335600540634,15.147420418755825,15.242324190515246,15.381746767972443,1.0,91
42,0.0,70.08970067518484,63.90395377927376,57.91006661801931,83.09620122875559,71.050440651054,60.213370717668184,65.7067898154686,65.94709841596055,65.35284262266492,66.69044575742814,65.23242181403482,63.65946340058045,66.97029344597915,67.73148904554418,66.77799289874365,68.01417352678031,2.0,107
43,0.0,20.104688420508836,19.85248344289396,19.69265115297569,33.45695805040533,22.34222260774288,41.316524778134394,19.59311221060823,19.005819206148953,19.024537355940943,19.679283392903198,19.73215327262146,19.190626016416978,19.980127961850993,18.295631979701273,19.82099389434414,18.976053777666483,2.0,141
44,0.0,17.370196078949103,17.675453536887293,17.23007632953144,43.12676368252389,20.493839481017286,39.23691248721777,16.9586468376923,17.50207609562964,17.30670492741842,16.81202638895105,17.7022270793069,17.344490637778048,17.50381133662926,16.82125837501163,16.76538928409605,17.054076429545113,2.0,88
45,0.0,19.149669666595823,16.537633587049605,16.000488962280865,30.812521211338897,21.858971664765313,28.289922750599516,19.166278848425467,19.067662944159512,18.221756648856523,18.927441269591984,20.970812656894676,18.449428402759885,19.75644724719977,19.86174533002983,19.42145806075435,20.377462919682433,2.0,59
46,0.0,120.21523975964405,108.30193704274512,81.28894283198355,94.27707116730215,121.62216616752286,83.49046943622248,115.9310983612966,116.45923681422038,115.50627476825886,116.24894370086807,111.78041582279903,108.95616477442118,117.99958237822307,119.54457465636558,118.44933579862946,121.25989649257998,2.0,33
47,0.0,18.16298645109592,17.62500754128644,17.556037172277296,40.616489030069104,21.638552071169094,36.86317438855575,17.93647694273361,16.418947412441796,17.35335724161699,18.197867880072792,16.939045509489986,17.976249830385054,18.116241411384305,18.557422075933765,17.976995095906545,18.410321131285848,2.0,82
48,0.0,19.590131691810043,19.18045371385604,19.07534478230934,39.00173367289996,22.04240328989269,37.816164338922654,18.812671161438615,18.560114060903956,18.434538799994648,18.768621900202938,17.89991724987104,18.08133734906673,19.314654967915832,19.238905918542365,19.05842423300949,19.62425931549114,2.0,121
49,0.0,23.391249158264195,25.75006515523081,23.01748959989202,38.55558050313689,25.197363876764197,57.716996677548835,23.735084731656407,23.22760189551133,22.024113162897454,22.75658698759173,24.1919472096081,22.043200008876223,22.06020423690365,22.44000184711738,23.001394766155222,22.525334177229713,2.0,40
50,0.0,33.83242115926218,30.142451208159795,28.57920765561759,35.27501088718383,35.65406892861354,36.43892432948076,32.840775955352456,32.179237784148114,33.155047268685266,32.08437962563513,33.23095582499964,30.84420405779578,33.23576004375442,32.31992061578712,34.731643517827266,33.748358851749934,2.0,74
51,0.0,37.37257795408872,32.89807396108878,30.251385167458817,69.01053969631111,45.18663690951728,36.58970799245425,38.22233410382783,34.01208211380116,35.92654014968079,40.01305800234136,33.30044068280404,31.132605440259784,37.92046462074213,35.98355032625309,37.8899114768277,36.022599100743335,3.0,42
52,0.0,29.46103524782077,28.614258811662452,28.6011708023269,39.01752203349608,27.546220432976327,46.99455894003196,28.50302524125793,29.12332390312281,28.61882240253468,27.925365798320374,29.02944859371672,31.06319589950183,28.706630020260192,28.961093040485363,28.415840415752047,29.50152476221563,2.0,45
53,0.0,19.419125311365775,20.861704655023726,19.389687086127108,53.006735998476564,31.283927175981155,46.607664807737216,22.363487769479494,24.109322503897552,24.37461482392138,23.635735610674548,23.661109813932686,32.44838294362383,25.929673104254512,21.85622501665284,22.556013029091897,19.80298658465936,2.0,13
54,0.0,21.116021380099305,28.41060454654611,12.232818063620282,72.31843179423727,33.743294107599304,76.29987554144462,16.635049553187343,14.922764041706895,15.740774000473548,16.599775927864478,19.491506604243952,12.27516849412784,16.846674405528955,15.951497684074734,15.792227507340538,17.517738098054284,2.0,8
55,0.0,50.88065495497938,46.26953245294865,43.405179206002444,58.787414921355854,61.09497448804188,50.11604230024749,49.68537782737461,47.09124026084562,48.274796769491985,49.085256756808995,44.9223241594056,46.323846588181894,50.49643335022551,50.88896166458084,49.260893282093704,51.64446271442296,3.0,64
56,0.0,60.19713748636438,54.508132096628685,49.624865537839206,75.57970195259341,52.37078151196439,53.27686464986577,60.42946218980448,58.684010703693104,58.89981338766576,61.16576360235231,60.41262369024649,57.488313179219176,60.219915839787454,61.79581763750509,59.97607379216762,63.55533325708206,3.0,35
57,0.0,47.42312494526807,48.581062538616486,47.42190337686843,57.115727582606546,51.8448739675711,75.18081303361517,47.234608456084885,45.89503182978653,49.55022390184299,47.53080238701508,43.65882126717382,50.25614601339779,49.056713581326264,48.76788815392579,48.53751557737644,47.08462774368296,3.0,33
58,0.0,40.997687048750656,36.613323819191535,34.1055406175452,52.72584189170805,44.107305399624224,41.072791254635256,40.02292175024821,40.316454887907085,38.701780196823094,41.76874341019472,38.93212553599532,39.270624438333066,40.138914318203334,38.10776973130972,39.71209789767391,40.76655934166807,3.0,87
59,0.0,10.28,8.726169336830736,8.675555555555555,85.67794932974203,10.28,18.067102401189583,10.391000933260583,9.041664938125857,10.516195580539607,12.884273437493553,11.299045628322661,3.173387462053276,7.397757457161497,9.843796015579889,10.773758342013826,10.322748497325739,3.0,3
60,0.0,9.631391201807372,17.182184579564456,0.0,52.32277685494731,9.631391201807372,67.11835723375958,18.34115124939784,19.165027351829867,20.54189348854106,14.718267995472688,32.44254176284628,67.3752651628111,16.90488046970146,12.84847416505004,19.189375236336893,10.727748809491654,3.0,1
61,0.0,28.668360519074422,28.022037510647774,27.97767749273077,107.1846923429636,28.668360519074422,43.462472879216406,31.600810056786884,29.5540162085843,32.100780343553545,31.133863149431157,38.699034404499,43.17017191752067,33.61206826050986,26.993142412595056,33.32145853690958,27.88710151319498,3.0,7
62,0.0,29.009964497420118,28.90916006408391,28.685940828816094,41.65246556392081,29.009964497420118,47.16544572632027,28.610926640262857,31.870897539828103,27.698026719326823,27.118927320723333,27.149615208318192,28.244385510141683,28.67251035502822,31.25465385107928,27.276786899283774,30.403150718425216,3.0,5
63,0.0,129.17858602193058,118.44584025398633,97.00200517594385,64.48118491238235,128.11040420393059,102.08701942663025,123.3605095953216,122.99071478256876,120.08573917080865,121.87554189221756,115.57457118331546,122.65011975590585,112.45644139792769,121.25320303075087,121.22459626264917,124.20539511183576,3.0,12
64,0.0,33.165629983815265,30.116840851024776,29.228463046958616,23.01602554338204,22.969409058815263,39.66163915341892,36.261697801542496,34.33635624149174,33.147641722199154,33.939783672750266,31.632255629599936,29.376555535373814,34.90694752445502,35.33738852950465,33.870704433765724,35.64054800721866,3.0,4
