station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,count
12,0.0,4.205559714589744,4.650058836334542,4.004232895305719,4.579599830205107,3.829797552051282,7.756323479099834,3.712761485040753,3.475516875631244,3.6874036352444692,3.7730130806878037,3.409264450966368,3.287658639741142,3.7187261643477845,3.8445103958529647,3.766490137926276,3.9033507464860397,4.213538471812237,3.868914794586401,4.31847239291112,3.432058133742062,3.288871370784502,78
13,0.0,7.984198210833333,7.289737145134936,6.403448077222222,12.317492535833262,10.093612969166665,5.983918160328403,8.641397355196736,8.656496960121256,8.614914534685871,8.457165517606201,8.849356132942301,8.283253230847778,8.748711226580403,8.60624015152242,8.290633636909586,8.761787849861246,7.9682139935074865,8.937883335548502,7.721616862414144,8.449466107485554,8.627967634000244,6
14,0.0,4.697390545225806,5.349289155209662,4.121264654905307,9.3133909369677,3.8911949487096775,8.96320391870407,4.246640385706495,4.2937491709252535,4.365510929442115,4.154477622787716,4.45021860830909,4.393442392355878,4.180784405787062,4.143034561574376,4.253899720413936,4.233308784429971,4.711695167752898,4.071420726824108,4.585001595985399,4.518620344906951,4.488885718013877,31
15,0.0,1.6810064935714286,2.3547291623265103,1.8082096475510203,3.7041256459999814,2.1810064935714286,6.248027760102494,2.1040046616932897,2.249095514158238,2.062916489325649,1.979660312785819,2.035880776129848,2.4845412179371857,1.8536424016922433,2.1003720358469935,1.9765255853077917,1.831325729236886,1.694945056782052,1.9012876858060128,1.9218918875315638,2.825319432528076,2.642697476656494,14
16,0.0,1.950892857125,1.690469957488101,1.64174107140625,2.2933125553749942,3.361607142875,4.007137881318167,1.738998940994934,1.6881472383048095,1.5576237950827636,1.695695570519165,1.6530657325293578,1.5879412208106078,1.7987156425025024,1.7897229705359496,1.7203779731299438,1.903548410942749,1.9446354423071899,1.8974009070899047,1.5625072036292114,1.952131560852722,1.8662473474051513,8
17,0.0,4.218186939542857,4.368588276422898,4.28442696779864,4.840005466190464,4.421454024133333,6.449044421617696,4.055777370574583,4.19349303238126,4.045267212657312,4.113089918167473,4.148625337580724,4.1188359317006284,4.0994083435778785,4.17915292715708,4.113873770335966,4.2491965137063845,4.2214613031060315,4.253864371648512,4.239412668985635,4.16085513716861,4.051675827893927,105
18,0.0,3.9128453153093523,4.094147456115617,4.027307203580974,5.539855453654663,4.11570640305036,6.254991884206953,3.921550468191441,3.930487526399493,3.9737175579144384,3.9528301281487783,3.9421437154421684,3.8879614763494055,3.921143976520764,3.888184649097449,3.9227672262608158,3.906576409230602,3.9168493958278967,3.9131869090997498,3.893363279020659,3.8770918616881933,3.918948609200778,139
19,0.0,2.68731962425,3.208165423523798,2.7641143571250004,2.599331711750024,2.72303391,5.4267639829912255,2.591046202008789,2.9465219853568727,2.6646230099845583,2.616533982579773,2.927411305730408,3.2062219260383302,2.545711982076233,2.428568827931946,2.391545164411133,2.513387191121643,2.699427234952515,2.596670257871216,2.647429454152649,3.5703137992072755,3.057639586751526,8
20,0.0,10.045634920625,9.785212020988102,8.259920635625,12.43116646987498,10.045634920625,8.82203654367029,9.735176379708557,9.441106970338135,9.527057225732117,9.549300487069397,9.56209831955841,9.544872696427612,9.809880430726318,10.063260133294373,9.901783998040466,10.121040756730347,10.039137895135193,10.241092259911804,9.562943871049194,9.363765294579773,9.634879643945007,8
21,0.0,4.466206035714285,4.615019121221086,4.646577133061224,5.054438181428587,5.18049175,5.366654052781628,4.44279905329241,4.432115721121652,4.484082388296945,4.399698832475935,4.496707810093471,4.623483279192243,4.539704625366211,4.243439840689523,4.446045769383022,4.2865825681326735,4.469267875226702,4.428006202253069,4.363700079336984,4.726342095066615,4.662064991097586,7
22,0.0,6.504684407666666,5.8102233419682685,4.975713040666666,5.283491224333343,6.504684407666666,4.9276710883230805,6.2414809760406085,6.199999322191324,6.027991284624186,6.503671000098632,6.112406561469482,6.305205493862874,5.579914718563802,6.320523698285562,6.402842511430826,6.358621238823079,6.487743972892903,6.277912894045653,5.7051011984235025,5.8000705934519035,6.077106942430582,6
