,LCTN_ID,LCTN_NM,Region,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Count
73,2F19P,Oyama Lake,Northern BC,3.06,3.94,1.87,5.16,3.15,8.07,3.35,4.2,3.36,3.13,3.97,4.06,3.82,2.86,2.84,2.69,3.08,3.43,3.31,5.17,4.5,3
74,2G03P,Blackwall Peak,Northern BC,4.4,4.23,4.22,6.0,4.95,5.84,4.31,4.31,4.25,4.36,4.19,4.19,4.36,4.39,4.31,4.42,4.4,4.37,4.3,4.19,4.2,82
75,3A09P,Palisade Lake,Coast Range,5.39,5.95,4.74,5.94,4.62,9.37,4.62,4.29,4.6,4.63,4.27,4.28,4.46,4.77,4.67,4.9,5.4,4.84,5.49,4.29,4.36,45
77,3A19P,Orchid Lake,Coast Range,5.51,5.86,5.33,6.9,5.36,8.7,5.21,5.18,5.22,5.21,5.14,5.28,5.29,5.28,5.29,5.3,5.52,5.42,5.56,5.25,5.36,71
78,3A20P,Callaghan,Coast Range,5.46,5.88,5.18,6.1,5.58,8.69,5.54,5.57,5.55,5.62,5.71,5.44,5.46,5.4,5.3,5.42,5.47,5.43,5.76,5.53,5.69,29
79,3A22P,Nostetuko River,Coast Range,7.44,7.17,7.05,8.06,7.66,7.53,7.21,7.03,7.11,7.18,7.24,7.36,7.11,7.34,7.13,7.35,7.43,7.37,7.16,7.12,7.28,48
80,3A24P,Mosley Creek Upper,Coast Range,4.0,3.81,3.8,4.68,4.21,5.53,3.64,3.64,3.59,3.82,3.47,3.48,3.64,3.77,3.74,3.88,3.99,4.05,3.66,3.32,3.24,40
81,3A25P,Squamish River Upper,Coast Range,6.21,6.22,6.19,6.8,6.46,7.82,6.28,6.24,6.3,6.3,6.19,6.31,6.33,6.24,6.29,6.26,6.21,6.24,6.19,6.33,6.35,65
82,3A28P,Tetrahedron,Coast Range,7.34,7.59,7.23,11.78,7.43,10.0,7.23,7.36,7.33,7.25,7.37,7.23,7.2,7.2,7.21,7.22,7.34,7.23,7.24,7.45,7.46,31
83,3A29P,Loch Lomand,Coast Range,10.14,9.44,7.25,14.42,12.43,7.42,10.79,10.75,10.8,10.71,11.12,10.77,10.91,11.12,10.42,11.05,10.13,11.19,10.0,10.95,11.19,6
85,3B23P,Jump Creek,Coast Range,4.32,4.69,4.18,7.24,4.44,7.83,4.21,4.15,4.07,4.07,4.31,4.06,4.1,4.03,4.2,4.09,4.33,4.19,4.27,4.2,4.14,111
