station,recorded,ten,mean,station_mean,kuchera,dube,gpt,nn_full,nn_small,nn_without_derived,nn_without_meta,nn_without_radiation,nn_without_surface,nn_without_temperature,nn_without_upper,nn_without_water,nn_without_wind,nn_surface_temperature,nn_surface_temp_meta,nn_temp_humidity,nn_temp_humidity_wind,nn_temp_humidity_wind_meta,count
33,0.0,8.770582488744788,7.907214822115459,4.656716495541797,7.098626381138667,8.660749809641777,5.2786020909284295,8.629870478032544,7.7087431106086575,8.148204277308759,8.159247315380863,7.9927701675076035,6.550693704563554,7.918101644615652,8.892995017146902,8.760122150960628,8.887279220260261,8.749050639683132,8.76708643051203,8.346848196082636,7.116188888130469,6.067566254030214,3
34,0.0,7.4399578948326965,7.17420074014466,7.04731075970897,8.057568040273742,7.659533253923943,7.527329090477866,7.206324850915737,7.030213982870848,7.110997802258294,7.177648516725242,7.239217834774634,7.3555440923946405,7.108725676534564,7.33619389875536,7.126712502952904,7.350810736637782,7.431817272894009,7.373690532037489,7.1638750303480565,7.121122824909617,7.282654696832742,48
35,0.0,4.62851793499483,4.682479504990366,4.620060183719844,5.3760442295567294,4.891721097821695,6.8570140765162995,4.598923407589597,4.521141191850434,4.568295228667067,4.551757458691238,4.528112677240182,4.533321279047112,4.635457506644734,4.424966458786513,4.591666952309572,4.500423000181129,4.626544846190302,4.664454834942392,4.453056757115888,4.530074346450936,4.525593077742123,118
36,0.0,3.9983079653724714,3.806701935109723,3.801602575431409,4.6753505276528085,4.208499327178389,5.534163893981938,3.635325284834842,3.6387567494655717,3.586565028429476,3.815533054860382,3.473306137239174,3.4809296077983896,3.6381496394655124,3.774445133505318,3.740322317981069,3.878580408655425,3.9903645582936136,4.051361981962314,3.656314908232815,3.3236870313796545,3.239981163437169,40
37,0.0,5.821682669979693,5.787193853653526,5.77785331360829,7.99704033255147,6.415313318766425,7.3336670147821215,5.788057810456477,5.733621643848178,5.770597213678039,5.798742335826297,5.710131230258171,5.697869455499102,5.875320081894651,5.676372504144429,5.773793056787996,5.766616818577938,5.8185978241774245,5.836208015323281,5.670686819801591,5.764084016740111,5.809909447461188,104
38,0.0,7.844692522412678,7.5238178569754055,7.293802442331981,7.917794714068432,8.617006341260314,7.681383009521328,7.654735672478537,7.580960488378911,7.6568507590055255,7.661123523178008,7.633399165808703,7.559113788513702,7.704343955999082,7.745580252211483,7.705314926274361,7.787668664856778,7.835091955039795,7.811595495327749,7.6090611251069005,7.430669495077202,7.51841117497153,65
39,0.0,4.766623969684705,4.800963545731591,4.752770589835479,6.536675196383639,4.748155872679111,6.775588132759175,4.735137028222597,4.736331990030096,4.739759478358355,4.710753368132186,4.749049453090777,4.761817666225767,4.752118594619611,4.748959375317184,4.741669441509024,4.742755451938325,4.764640685761596,4.762512629067492,4.69059271497013,4.797260617936246,4.733190987547077,147
40,0.0,3.377290822163182,3.634987857269397,3.359467390507698,5.906246629775605,5.097402788962454,6.529923863288486,3.3867469461436515,3.4147679072996477,3.402120206068546,3.3897410795358884,3.3997380331581004,3.5130602955113446,3.42654307928225,3.3212369358831237,3.405073964895731,3.302283226511249,3.3799223994980934,3.367529686772612,3.4508449367047502,3.6759606620712115,3.5591335354678364,55
41,0.0,3.8596847435069,3.8120043228454126,3.7963357095296155,5.344543539879856,4.341275065847341,5.898697514613816,3.924763326076217,3.937062390256017,3.9014258990172044,3.872055114258864,3.823471862808753,3.8484863110079264,3.848809634229866,3.8919687073197062,3.9041419275578657,3.921957007410005,3.8552896702945296,3.836309202963804,3.8126117129465125,3.7448310874037665,3.800632687948634,91
42,0.0,8.371959189770626,7.9939948573459665,7.6098663994855595,9.115711778503947,8.429142343741384,7.759727489910208,8.105972478084823,8.12078188452076,8.084110502873209,8.166421845424601,8.076659075015785,7.978688075152484,8.183537954086798,8.22991427935578,8.171780277194417,8.247070602752247,8.361433792984823,8.228902659346737,8.139753024631386,8.105509230199686,8.101658611607284,107
