,SNWASWS_ID,LCTN_ID,LCTN_NM,ELEVATION,STATUS,LATITUDE,LONGITUDE,SHAPE,OBJECTID,X,Y,unusable,Downloaded,Filed,SD Start,SD End,PC Start,PC End
72,73,2F18P,Brenda Mine,1460.0,Active,49.862361,-119.982111,,185051,1432237.362,556858.9143,True,False,,,,,
73,74,2F19P,Oyama Lake,1360.0,Active,50.11633,-119.279,,185052,1479916.878,589523.1368,,True,,2020-08-26 17:00:00,2022-11-12 23:00:00,2020-08-26 17:00:00,2022-11-12 23:00:00
74,75,2G03P,Blackwall Peak,1940.0,Active,49.09414,-120.7725,,185053,1381877.813,467196.5078,,True,,2003-10-01 00:04:07,2022-11-12 23:00:00,2003-10-01 00:04:07,2022-11-12 23:00:00
75,76,3A09P,Palisade Lake,900.0,Active,49.454444,-123.031944,,185054,1215277.139,497638.8375,,True,,2018-03-18 19:00:00,2022-11-12 23:00:00,2018-03-18 19:00:00,2022-11-12 23:00:00
76,77,3A17P,Tiedemann Glacier,1400.0,Inactive,51.35,-124.966667,,185055,1071889.356,704593.7643,True,False,,,,,
77,78,3A19P,Orchid Lake,1180.0,Active,49.535833,-123.050834,,185056,1213531.055,506620.1374,,True,,2018-03-18 19:00:00,2022-11-12 23:00:00,2018-03-18 19:00:00,2022-11-12 23:00:00
78,79,3A20P,Callaghan,1017.0,Active,50.137056,-123.102889,,185057,1207028.823,573266.8486,,True,,2018-12-10 23:00:00,2022-11-12 23:00:00,2018-03-18 19:00:00,2022-11-12 23:00:00
79,80,3A22P,Nostetuko River,1500.0,Active,51.24325,-124.459583,,185058,1107421.474,693345.7643,,True,,2007-08-15 07:04:22,2022-11-12 23:00:00,2003-10-01 00:04:29,2022-11-12 23:00:00
80,81,3A24P,Mosley Creek Upper,1650.0,Active,51.77617,-124.6218,,185059,1094954.763,752481.961,,True,,2007-08-15 07:09:23,2022-11-12 23:00:00,2003-10-01 00:09:28,2022-11-12 23:00:00
81,82,3A25P,Squamish River Upper,1360.0,Active,50.1543,-123.4361,,185060,1183159.043,574265.5405,,True,,2003-10-01 00:09:00,2022-11-12 23:00:00,2005-11-08 15:09:00,2022-11-12 23:00:00
82,83,3A28P,Tetrahedron,1420.0,Active,49.59785,-123.60499,,185061,1173191.904,511995.5699,,True,,2017-11-04 22:00:00,2022-11-05 14:00:00,2017-11-04 22:00:00,2022-11-13 00:00:00
83,84,3A29P,Loch Lomand,1070.0,Active,49.592,-123.0444,,185062,1213736.033,512877.7266,,True,,2019-11-18 20:00:00,2022-11-12 23:00:00,2019-11-18 20:00:00,2020-06-12 23:00:00
84,85,3B17P,Wolf River Upper,1490.0,Active,49.704139,-125.67925,,185063,1023145.408,520934.7316,True,False,,,,,
85,86,3B23P,Jump Creek,1160.0,Active,48.969505,-124.276182,,185064,1126366.977,440785.6511,,True,,2003-10-01 00:06:12,2022-11-12 23:00:00,2003-10-01 00:06:12,2022-11-12 23:00:00
