Unnamed: 0,model_id,dataname,optimizer,lossfn,layers,regularization_strength,activationfn,epochs,batch_size,dropout_rate,train_accuracy,test_accuracy,time
,29.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F295CAF0>,100.0,100.0,0.2,"[3.6718335151672363, 36.81326675415039]","[3.63242244720459, 36.90829849243164]",
,30.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 100, 100, 100, 100]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F32F37C0>,100.0,100.0,0.2,"[48.935489654541016, 34.87253952026367]","[49.02908706665039, 38.48313903808594]",
,31.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EFBF14E0>,100.0,1000.0,0.2,"[3.4990618228912354, 37.07204818725586]","[3.6651687622070312, 37.60645294189453]",
,32.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EAFEB670>,100.0,1000.0,0.2,"[3.4599080085754395, 35.1510124206543]","[3.330280065536499, 32.01322555541992]",
,33.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F29E96F0>,100.0,1000.0,0.2,"[4.099132537841797, 36.153934478759766]","[4.132011413574219, 36.437259674072266]",
,34.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",0.01,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294F74553C0>,100.0,1000.0,0.2,"[24.356037139892578, 34.94533920288086]","[24.198078155517578, 30.062030792236328]",
,35.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 150, 100, 100, 100, 50, 20]",10.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294ED43FDC0>,100.0,1000.0,0.2,"[111.42306518554688, 124.57003784179688]","[111.3983154296875, 123.62355041503906]",
,36.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.0,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FAD91BD0>,100.0,1000.0,0.2,"[5.16856050491333, 61.90788269042969]","[5.28755521774292, 64.43416595458984]",
,37.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",1e-06,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294FC42EE90>,100.0,1000.0,0.2,"[5.392467975616455, 65.30926513671875]","[5.385828495025635, 63.71111297607422]",
,38.0,test_data_4_modified_small.csv,adam,huber,"['normalization', 200, 'dropout', 150, 'dropout', 100, 'dropout', 100, 'dropout', 100, 'dropout', 50, 'dropout', 20]",0.0001,<keras.layers.activation.leaky_relu.LeakyReLU object at 0x00000294EDC7D570>,100.0,1000.0,0.2,"[5.929980754852295, 65.52764892578125]","[5.706989765167236, 59.25695037841797]",
